Contador;Trimestre_FFECHA;Trimestre;Parados;Ocupados;TasaDesempleoServicios;TasaDesempleoSinServicios;NumeroTuristas;VentaViviendas
1;42368;2015T4;88,6;712,9;0,1105;0,1796;3251568;4310
2;42459;2016T1;87,8;713,8;0,1095;0,1827;3429273;5480
3;42551;2016T2;90,8;705,8;0,114;0,2084;2900835;5498
4;42643;2016T3;89,4;709,2;0,1119;0,1631;3246558;4926
5;42734;2016T4;96;722,9;0,1172;0,1628;3682901;4798
6;42824;2017T1;98,8;716,3;0,1212;0,188;3661353;5372
7;42916;2017T2;90,1;726,8;0,1103;0,1585;3283145;6285
8;43008;2017T3;75,4;750,5;0,0913;0,121;3463848;6008
9;43099;2017T4;79,5;765,7;0,0941;0,1478;3805875;5409
10;43189;2018T1;79;772;0,0928;0,1449;3724054;6384
11;43281;2018T2;79;772,6;0,0928;0,1344;3071646;6632
12;43373;2018T3;82,3;797,7;0,0935;0,1481;3257824;6041
13;43464;2018T4;92,1;807,7;0,1024;0,1391;3698498;5167
14;43554;2019T1;103,1;779,3;0,1168;0,1287;3679074;5301
15;43646;2019T2;94,7;784,9;0,1077;0,1304;2926029;6035
16;43738;2019T3;92,6;774,7;0,1068;0,1181;3023979;5253
17;43829;2019T4;85,1;825,2;0,0935;0,105;3517780;4727
18;43920;2020T1;92,9;817,8;0,102;0,1001;2731780;6289
19;44012;2020T2;108,3;704,5;0,1332;0,1327;2201;2520
20;44104;2020T3;128,1;702,3;0,1543;0,1236;548852;3758
